DATE,DTCTLVENMNM
2008-03-01,62.01
2008-04-01,.
2008-05-01,.
2008-06-01,61.63
2008-07-01,.
2008-08-01,.
2008-09-01,62.39
2008-10-01,.
2008-11-01,.
2008-12-01,59.52
2009-01-01,.
2009-02-01,.
2009-03-01,59.46
2009-04-01,.
2009-05-01,.
2009-06-01,60.29
2009-07-01,.
2009-08-01,.
2009-09-01,60.27
2009-10-01,.
2009-11-01,.
2009-12-01,60.17
2010-01-01,.
2010-02-01,.
2010-03-01,61.16
2010-04-01,.
2010-05-01,.
2010-06-01,61.27
2010-07-01,.
2010-08-01,.
2010-09-01,61.30
2010-10-01,.
2010-11-01,.
2010-12-01,60.55
2011-01-01,.
2011-02-01,.
2011-03-01,60.65
2011-04-01,.
2011-05-01,.
2011-06-01,60.76
2011-07-01,.
2011-08-01,.
2011-09-01,60.80
2011-10-01,.
2011-11-01,.
2011-12-01,59.94
2012-01-01,.
2012-02-01,.
2012-03-01,60.71
2012-04-01,.
2012-05-01,.
2012-06-01,61.67
2012-07-01,.
2012-08-01,.
2012-09-01,61.71
2012-10-01,.
2012-11-01,.
2012-12-01,62.60
2013-01-01,.
2013-02-01,.
2013-03-01,62.67
2013-04-01,.
2013-05-01,.
2013-06-01,62.60
2013-07-01,.
2013-08-01,.
2013-09-01,62.52
2013-10-01,.
2013-11-01,.
2013-12-01,62.56
2014-01-01,.
2014-02-01,.
2014-03-01,63.58
2014-04-01,.
2014-05-01,.
2014-06-01,63.65
2014-07-01,.
2014-08-01,.
2014-09-01,63.64
2014-10-01,.
2014-11-01,.
2014-12-01,64.58
2015-01-01,.
2015-02-01,.
2015-03-01,64.58
2015-04-01,.
2015-05-01,.
2015-06-01,65.47
2015-07-01,.
2015-08-01,.
2015-09-01,65.51
2015-10-01,.
2015-11-01,.
2015-12-01,65.43
2016-01-01,.
2016-02-01,.
2016-03-01,65.61
2016-04-01,.
2016-05-01,.
2016-06-01,65.58
2016-07-01,.
2016-08-01,.
2016-09-01,66.45
2016-10-01,.
2016-11-01,.
2016-12-01,66.50
2017-01-01,.
2017-02-01,.
2017-03-01,67.37
2017-04-01,.
2017-05-01,.
2017-06-01,66.53
2017-07-01,.
2017-08-01,.
2017-09-01,67.36
2017-10-01,.
2017-11-01,.
2017-12-01,67.35
2018-01-01,.
2018-02-01,.
2018-03-01,66.46
2018-04-01,.
2018-05-01,.
2018-06-01,66.49
2018-07-01,.
2018-08-01,.
2018-09-01,65.59
2018-10-01,.
2018-11-01,.
2018-12-01,66.49
2019-01-01,.
2019-02-01,.
2019-03-01,66.47
